Year,Sector,Degree,Period,Reef,Depth2,Transect,Type,Quantity
2010,South,27°N,After,57,Deep,4,Cold Water Corals,1
2010,North,29°N,After,89,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,11,Deep,1,Cold Water Corals,4
2009,South,28°N,After,78,Shallow,5,Cold Water Corals,1
2010,North,29°N,After,56,Shallow,3,Cold Water Corals,3
2023,North,29°N,Before,1,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,51,Shallow,2,Cold Water Corals,1
2009,South,26°N,After,29,Deep,8,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,5
2009,South,26°N,After,29,Deep,8,Cold Water Corals,1
2023,South,26°N,Before,32,Shallow,2,Cold Water Corals,1
2009,South,26°N,After,29,Deep,8,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,5
2023,North,29°N,Before,1,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,1,Shallow,1,Cold Water Corals,3
2010,North,29°N,After,25,Shallow,1,Cold Water Corals,4
2010,South,27°N,After,57,Shallow,1,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,2,Cold Water Corals,4
2010,South,26°N,After,29,Deep,4,Cold Water Corals,2
2009,North,29°N,After,13,Deep,2,Cold Water Corals,1
2023,South,26°N,Before,84,Shallow,3,Cold Water Corals,2
2023,South,27°N,Before,85,Deep,2,Cold Water Corals,1
2023,South,26°N,Before,27,Deep,4,Cold Water Corals,3
2009,South,26°N,After,34,Deep,1,Cold Water Corals,2
2009,South,25°N,After,54,Shallow,8,Cold Water Corals,1
2009,South,28°N,After,78,Deep,2,Cold Water Corals,2
2010,North,29°N,After,1,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,89,Shallow,3,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,2,Cold Water Corals,2
2023,South,28°N,Before,77,Shallow,1,Cold Water Corals,1
2023,South,27°N,Before,71,Deep,3,Cold Water Corals,6
2010,North,29°N,After,5,Shallow,3,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,3,Cold Water Corals,1
2010,North,29°N,After,11,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,27,Deep,1,Cold Water Corals,11
2023,South,26°N,Before,27,Deep,1,Cold Water Corals,4
2010,North,29°N,After,5,Shallow,3,Cold Water Corals,1
2009,North,29°N,After,88,Deep,1,Cold Water Corals,2
2010,South,27°N,After,57,Deep,1,Cold Water Corals,5
2023,South,27°N,Before,70,Deep,1,Cold Water Corals,6
2009,North,30°N,Before,8,Deep,4,Cold Water Corals,4
2010,South,26°N,After,31,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,1,Cold Water Corals,4
2023,South,28°N,Before,77,Shallow,3,Cold Water Corals,5
2009,North,29°N,After,25,Shallow,2,Cold Water Corals,2
2010,South,28°N,After,79,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,56,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,1,Cold Water Corals,1
2023,South,28°N,Before,77,Shallow,4,Cold Water Corals,1
2023,South,25°N,Before,45,Shallow,2,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,8,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,3,Cold Water Corals,1
2009,South,27°N,After,76,Deep,3,Cold Water Corals,1
2009,South,26°N,After,29,Deep,2,Cold Water Corals,1
2009,North,29°N,After,88,Deep,2,Cold Water Corals,7
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,3,Cold Water Corals,2
2010,North,29°N,After,13,Shallow,1,Cold Water Corals,1
2009,South,25°N,Before,40,Deep,2,Cold Water Corals,2
2010,North,29°N,After,30,Shallow,1,Cold Water Corals,3
2009,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,2
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,2
2009,South,25°N,Before,72,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2023,South,26°N,Before,27,Deep,4,Cold Water Corals,2
2023,South,27°N,Before,76,Deep,1,Cold Water Corals,1
2009,North,29°N,After,1,Deep,3,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,2,Cold Water Corals,3
2023,South,27°N,Before,57,Deep,1,Cold Water Corals,5
2010,North,29°N,After,25,Shallow,3,Cold Water Corals,3
2010,North,29°N,After,25,Shallow,3,Cold Water Corals,3
2009,South,25°N,Before,73,Deep,8,Cold Water Corals,4
2010,South,25°N,Before,54,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,7,Cold Water Corals,1
2023,South,26°N,Before,31,Deep,4,Cold Water Corals,1
2023,South,26°N,Before,31,Deep,4,Cold Water Corals,1
2010,North,30°N,Before,7,Deep,4,Cold Water Corals,2
2009,South,25°N,Before,73,Deep,6,Cold Water Corals,1
2009,South,28°N,After,78,Deep,3,Cold Water Corals,2
2010,North,29°N,After,13,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,75,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,84,Deep,2,Cold Water Corals,7
2023,South,25°N,After,53,Deep,3,Cold Water Corals,1
2010,South,26°N,After,49,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,29,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,2
2009,South,26°N,After,51,Shallow,4,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,South,25°N,Before,45,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,5,Deep,2,Cold Water Corals,1
2010,North,29°N,After,30,Shallow,3,Cold Water Corals,2
2023,North,30°N,After,7,Shallow,1,Cold Water Corals,1
2010,South,28°N,After,79,Deep,1,Cold Water Corals,2
2010,South,25°N,After,54,Shallow,2,Cold Water Corals,1
2023,South,26°N,Before,28,Deep,1,Cold Water Corals,23
2010,North,30°N,Before,7,Shallow,4,Cold Water Corals,5
2023,South,28°N,Before,79,Deep,3,Cold Water Corals,4
2009,South,27°N,After,57,Deep,7,Cold Water Corals,1
2010,North,29°N,After,56,Deep,3,Cold Water Corals,1
2009,South,26°N,After,32,Shallow,7,Cold Water Corals,1
2009,South,26°N,After,28,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,2,Cold Water Corals,1
2010,North,29°N,After,56,Shallow,2,Cold Water Corals,1
2009,South,27°N,After,76,Deep,8,Cold Water Corals,1
2023,South,26°N,Before,51,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,67,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,72,Deep,7,Cold Water Corals,5
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,5
2010,North,30°N,Before,7,Deep,1,Cold Water Corals,5
2023,South,27°N,Before,70,Shallow,1,Cold Water Corals,2
2009,South,25°N,Before,52,Deep,4,Cold Water Corals,4
2009,South,27°N,After,47,Shallow,8,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2010,North,29°N,After,63,Shallow,1,Cold Water Corals,1
2009,South,24°N,Before,44,Shallow,1,Cold Water Corals,1
2023,North,30°N,After,7,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,77,Shallow,2,Cold Water Corals,1
2010,South,27°N,After,57,Deep,1,Cold Water Corals,1
2023,North,30°N,After,7,Deep,1,Cold Water Corals,2
2009,North,29°N,After,30,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,2,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,3,Cold Water Corals,1
2009,South,26°N,After,31,Deep,5,Cold Water Corals,1
2010,South,25°N,Before,40,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,35,Deep,2,Cold Water Corals,2
2009,South,25°N,Before,52,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,25,Shallow,1,Cold Water Corals,3
2009,North,29°N,After,5,Shallow,3,Cold Water Corals,3
2009,South,25°N,Before,73,Deep,7,Cold Water Corals,2
2009,South,25°N,Before,73,Deep,7,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,56,Deep,3,Cold Water Corals,2
2023,South,27°N,Before,71,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,2,Deep,2,Cold Water Corals,1
2009,North,29°N,After,63,Shallow,5,Cold Water Corals,1
2023,South,28°N,Before,78,Shallow,2,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,3
2023,South,26°N,Before,32,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,25,Shallow,1,Cold Water Corals,3
2010,North,29°N,After,25,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,29,Deep,4,Cold Water Corals,1
2009,South,26°N,After,51,Shallow,5,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,6,Cold Water Corals,1
2010,North,29°N,After,63,Shallow,4,Cold Water Corals,1
2009,North,29°N,After,63,Shallow,1,Cold Water Corals,2
2010,South,26°N,After,29,Deep,2,Cold Water Corals,3
2009,South,27°N,After,57,Deep,2,Cold Water Corals,3
2009,North,29°N,After,1,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,40,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,7,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,3,Cold Water Corals,5
2009,North,29°N,After,5,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,29,Deep,3,Cold Water Corals,3
2010,North,29°N,After,56,Shallow,4,Cold Water Corals,2
2010,North,29°N,After,56,Shallow,4,Cold Water Corals,1
2009,South,27°N,After,57,Shallow,1,Cold Water Corals,1
2009,North,30°N,Before,8,Deep,2,Cold Water Corals,2
2009,North,30°N,Before,8,Deep,2,Cold Water Corals,3
2010,South,27°N,After,85,Shallow,1,Cold Water Corals,1
2010,North,30°N,Before,8,Deep,4,Cold Water Corals,7
2010,North,30°N,Before,8,Deep,4,Cold Water Corals,5
2009,South,26°N,After,49,Shallow,4,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Deep,3,Cold Water Corals,3
2010,North,29°N,After,11,Deep,3,Cold Water Corals,7
2010,North,29°N,After,11,Deep,3,Cold Water Corals,5
2009,South,25°N,Before,52,Deep,8,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,7,Cold Water Corals,1
2023,South,26°N,Before,14,Deep,2,Cold Water Corals,2
2009,North,30°N,Before,7,Deep,2,Cold Water Corals,1
2009,South,27°N,After,70,Deep,2,Cold Water Corals,1
2023,South,26°N,Before,82,Shallow,2,Cold Water Corals,2
2023,South,26°N,Before,32,Deep,2,Cold Water Corals,3
2010,South,25°N,After,54,Shallow,2,Cold Water Corals,1
2023,South,28°N,Before,79,Deep,3,Cold Water Corals,3
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2023,South,26°N,Before,49,Shallow,1,Cold Water Corals,1
2010,South,26°N,After,50,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,13,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,13,Shallow,3,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,4,Cold Water Corals,9
2023,South,26°N,Before,83,Shallow,1,Cold Water Corals,2
2023,North,29°N,Before,67,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,25,Shallow,3,Cold Water Corals,2
2010,South,25°N,Before,54,Deep,3,Cold Water Corals,1
2009,South,26°N,After,28,Deep,1,Cold Water Corals,2
2010,North,29°N,After,56,Shallow,1,Cold Water Corals,1
2009,South,25°N,After,54,Shallow,4,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,8,Cold Water Corals,2
2009,South,25°N,After,54,Shallow,4,Cold Water Corals,1
2023,North,29°N,Before,4,Shallow,3,Cold Water Corals,1
2023,North,30°N,After,8,Shallow,1,Cold Water Corals,6
2023,North,29°N,Before,11,Shallow,4,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,4,Cold Water Corals,4
2010,South,26°N,After,51,Shallow,2,Cold Water Corals,1
2010,South,27°N,After,85,Deep,1,Cold Water Corals,2
2023,South,27°N,Before,71,Deep,4,Cold Water Corals,3
2009,South,27°N,After,47,Shallow,2,Cold Water Corals,1
2023,South,27°N,Before,76,Deep,3,Cold Water Corals,3
2023,South,27°N,Before,76,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,32,Deep,1,Cold Water Corals,1
2010,South,27°N,After,85,Shallow,1,Cold Water Corals,1
2009,South,25°N,Before,42,Deep,1,Cold Water Corals,1
2009,North,29°N,After,67,Shallow,2,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,4,Cold Water Corals,1
2010,North,29°N,After,56,Deep,4,Cold Water Corals,2
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,1,Cold Water Corals,1
2010,North,29°N,After,11,Deep,3,Cold Water Corals,3
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,25,Shallow,1,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,2,Cold Water Corals,2
2010,South,26°N,After,34,Deep,1,Cold Water Corals,2
2023,North,29°N,Before,60,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,60,Shallow,2,Cold Water Corals,2
2023,North,29°N,Before,60,Shallow,2,Cold Water Corals,5
2009,South,25°N,Before,40,Deep,2,Cold Water Corals,2
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,73,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,1,Cold Water Corals,5
2023,North,29°N,Before,66,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,1,Cold Water Corals,10
2023,South,26°N,Before,29,Deep,1,Cold Water Corals,2
2023,South,27°N,Before,76,Deep,4,Cold Water Corals,4
2023,South,27°N,Before,86,Deep,2,Cold Water Corals,1
2009,South,27°N,After,76,Deep,1,Cold Water Corals,2
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,2
2009,South,25°N,Before,72,Deep,7,Cold Water Corals,5
2010,South,28°N,After,79,Deep,2,Cold Water Corals,1
2009,North,29°N,After,30,Shallow,5,Cold Water Corals,1
2010,South,25°N,After,72,Shallow,4,Cold Water Corals,1
2023,North,29°N,Before,66,Shallow,1,Cold Water Corals,1
2010,North,29°N,After,56,Deep,2,Cold Water Corals,1
2009,South,27°N,After,76,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,2,Cold Water Corals,2
2010,South,27°N,After,57,Deep,1,Cold Water Corals,2
2009,North,29°N,After,25,Deep,5,Cold Water Corals,1
2010,South,27°N,After,57,Deep,3,Cold Water Corals,1
2009,South,27°N,After,86,Deep,3,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,3,Cold Water Corals,2
2009,North,29°N,After,67,Shallow,2,Cold Water Corals,1
2010,North,29°N,After,26,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,4,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,8,Cold Water Corals,1
2009,South,25°N,Before,40,Deep,5,Cold Water Corals,1
2010,North,29°N,After,30,Shallow,3,Cold Water Corals,2
2009,North,29°N,After,25,Deep,3,Cold Water Corals,1
2009,North,29°N,After,5,Shallow,3,Cold Water Corals,3
2023,North,29°N,Before,1,Shallow,4,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,2
2010,South,28°N,After,79,Deep,4,Cold Water Corals,1
2009,South,27°N,After,76,Deep,1,Cold Water Corals,3
2010,South,28°N,After,79,Deep,4,Cold Water Corals,1
2009,North,29°N,After,1,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,31,Deep,3,Cold Water Corals,1
2010,North,29°N,After,11,Shallow,3,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,3,Cold Water Corals,7
2010,South,27°N,After,85,Shallow,3,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,1,Cold Water Corals,2
2009,North,29°N,After,63,Shallow,6,Cold Water Corals,1
2009,North,29°N,After,30,Shallow,5,Cold Water Corals,1
2023,North,29°N,Before,1,Shallow,2,Cold Water Corals,3
2010,North,29°N,After,1,Shallow,2,Cold Water Corals,2
2023,South,26°N,Before,27,Deep,1,Cold Water Corals,5
2023,North,29°N,Before,59,Shallow,3,Cold Water Corals,3
2023,North,30°N,After,8,Deep,2,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,3,Cold Water Corals,7
2009,South,26°N,After,50,Deep,8,Cold Water Corals,1
2023,South,27°N,Before,85,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,1,Shallow,3,Cold Water Corals,1
2023,South,25°N,Before,45,Shallow,1,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,3,Cold Water Corals,1
2010,South,27°N,After,76,Deep,3,Cold Water Corals,1
2023,South,26°N,Before,83,Shallow,3,Cold Water Corals,1
2023,South,26°N,Before,84,Deep,2,Cold Water Corals,1
2009,South,28°N,After,77,Shallow,3,Cold Water Corals,1
2023,North,29°N,Before,25,Deep,3,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,4,Cold Water Corals,3
2010,North,29°N,After,13,Deep,1,Cold Water Corals,2
2009,South,25°N,Before,73,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,8,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,8,Cold Water Corals,1
2010,North,29°N,After,11,Deep,1,Cold Water Corals,1
2009,South,26°N,After,51,Shallow,4,Cold Water Corals,1
2009,South,27°N,After,70,Deep,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2023,North,29°N,Before,2,Shallow,1,Cold Water Corals,1
2023,South,28°N,Before,79,Deep,4,Cold Water Corals,1
2023,North,29°N,Before,4,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,1
2009,South,27°N,After,57,Shallow,3,Cold Water Corals,2
2010,South,25°N,Before,72,Deep,4,Cold Water Corals,2
2009,South,25°N,Before,72,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,72,Deep,4,Cold Water Corals,1
2023,South,28°N,Before,78,Deep,1,Cold Water Corals,1
2010,South,27°N,After,74,Deep,3,Cold Water Corals,1
2009,North,29°N,After,1,Deep,5,Cold Water Corals,1
2023,South,25°N,After,81,Deep,4,Cold Water Corals,3
2009,South,25°N,Before,40,Deep,7,Cold Water Corals,1
2009,North,30°N,Before,7,Shallow,1,Cold Water Corals,3
2010,North,29°N,After,13,Shallow,2,Cold Water Corals,1
2023,South,27°N,Before,57,Deep,1,Cold Water Corals,1
2009,South,26°N,After,29,Deep,3,Cold Water Corals,1
2023,South,27°N,Before,74,Shallow,3,Cold Water Corals,2
2023,North,29°N,Before,67,Shallow,1,Cold Water Corals,1
2010,North,29°N,After,1,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,67,Deep,3,Cold Water Corals,1
2009,South,27°N,After,57,Deep,4,Cold Water Corals,9
2023,North,29°N,Before,11,Shallow,3,Cold Water Corals,4
2023,South,26°N,Before,84,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,11,Shallow,3,Cold Water Corals,3
2009,South,25°N,Before,73,Deep,8,Cold Water Corals,3
2010,South,25°N,Before,81,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,1,Cold Water Corals,1
2023,South,27°N,Before,70,Deep,1,Cold Water Corals,1
2009,South,28°N,After,78,Deep,6,Cold Water Corals,1
2009,South,28°N,After,78,Deep,6,Cold Water Corals,1
2010,North,29°N,After,30,Deep,2,Cold Water Corals,2
2023,South,27°N,Before,86,Deep,4,Cold Water Corals,1
2023,South,27°N,Before,57,Shallow,1,Cold Water Corals,2
2023,South,27°N,Before,57,Shallow,1,Cold Water Corals,2
2010,South,27°N,After,57,Deep,3,Cold Water Corals,3
2023,North,29°N,Before,4,Deep,4,Cold Water Corals,14
2023,South,27°N,Before,85,Deep,3,Cold Water Corals,2
2009,South,25°N,Before,72,Deep,3,Cold Water Corals,2
2009,South,27°N,After,86,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,13,Deep,1,Cold Water Corals,1
2009,South,27°N,After,47,Shallow,2,Cold Water Corals,1
2023,South,27°N,Before,74,Deep,4,Cold Water Corals,5
2023,North,29°N,Before,1,Shallow,3,Cold Water Corals,4
2023,North,29°N,Before,1,Shallow,3,Cold Water Corals,5
2009,South,25°N,Before,81,Deep,8,Cold Water Corals,1
2023,North,30°N,After,7,Shallow,1,Cold Water Corals,2
2023,North,29°N,Before,5,Deep,1,Cold Water Corals,1
2010,South,28°N,After,79,Deep,1,Cold Water Corals,1
2009,North,29°N,After,67,Deep,4,Cold Water Corals,1
2023,South,26°N,Before,28,Deep,1,Cold Water Corals,7
2009,North,29°N,After,25,Deep,3,Cold Water Corals,1
2010,South,28°N,After,79,Deep,4,Cold Water Corals,1
2023,South,27°N,Before,76,Deep,4,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,4,Cold Water Corals,3
2023,South,25°N,After,81,Deep,4,Cold Water Corals,1
2023,South,25°N,After,81,Deep,4,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,4,Cold Water Corals,3
2009,South,27°N,After,76,Deep,1,Cold Water Corals,1
2009,South,26°N,After,50,Deep,7,Cold Water Corals,2
2010,North,29°N,After,25,Shallow,1,Cold Water Corals,1
2009,North,29°N,After,25,Shallow,1,Cold Water Corals,2
2010,South,26°N,After,27,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,1,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,5,Deep,2,Cold Water Corals,1
2023,South,27°N,Before,74,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,4,Cold Water Corals,5
2023,South,27°N,Before,74,Deep,3,Cold Water Corals,1
2023,North,29°N,Before,66,Shallow,1,Cold Water Corals,1
2009,South,27°N,After,85,Shallow,6,Cold Water Corals,1
2009,South,27°N,After,76,Deep,2,Cold Water Corals,2
2023,South,27°N,Before,57,Shallow,1,Cold Water Corals,4
2009,South,27°N,After,85,Shallow,6,Cold Water Corals,1
2023,South,27°N,Before,57,Shallow,1,Cold Water Corals,4
2009,North,29°N,After,30,Deep,3,Cold Water Corals,2
2010,South,25°N,Before,72,Deep,1,Cold Water Corals,2
2009,South,27°N,After,70,Deep,1,Cold Water Corals,5
2009,North,29°N,After,5,Deep,1,Cold Water Corals,1
2010,South,25°N,Before,81,Deep,3,Cold Water Corals,1
2010,South,25°N,Before,72,Deep,3,Cold Water Corals,3
2023,South,28°N,Before,77,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,84,Shallow,1,Cold Water Corals,2
2009,South,26°N,After,33,Shallow,1,Cold Water Corals,1
2023,South,28°N,Before,77,Deep,1,Cold Water Corals,1
2023,South,26°N,Before,51,Shallow,1,Cold Water Corals,1
2010,South,27°N,After,57,Deep,4,Cold Water Corals,3
2009,South,27°N,After,70,Deep,2,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,5,Cold Water Corals,1
2023,North,29°N,Before,25,Shallow,1,Cold Water Corals,2
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2010,North,29°N,After,56,Deep,1,Cold Water Corals,3
2023,South,26°N,Before,34,Deep,3,Cold Water Corals,1
2009,South,26°N,After,18,Shallow,2,Cold Water Corals,1
2023,North,29°N,Before,1,Shallow,4,Cold Water Corals,1
2009,North,29°N,After,67,Shallow,5,Cold Water Corals,2
2023,North,29°N,Before,59,Shallow,2,Cold Water Corals,5
2009,South,26°N,After,29,Deep,8,Cold Water Corals,2
2009,South,26°N,After,29,Deep,8,Cold Water Corals,2
2009,South,26°N,After,29,Deep,8,Cold Water Corals,1
2023,South,27°N,Before,86,Deep,2,Cold Water Corals,2
2010,North,29°N,After,30,Shallow,4,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,5,Cold Water Corals,1
2010,South,25°N,Before,40,Deep,2,Cold Water Corals,1
2010,North,29°N,After,89,Deep,1,Cold Water Corals,2
2023,South,28°N,Before,77,Deep,4,Cold Water Corals,6
2023,South,26°N,Before,28,Deep,2,Cold Water Corals,26
2010,South,27°N,After,85,Shallow,3,Cold Water Corals,1
2023,South,26°N,Before,28,Deep,2,Cold Water Corals,2
2010,North,30°N,Before,7,Deep,3,Cold Water Corals,11
2023,South,26°N,Before,28,Deep,2,Cold Water Corals,18
2009,North,29°N,After,13,Deep,2,Cold Water Corals,2
2023,South,28°N,Before,78,Deep,3,Cold Water Corals,1
2009,South,25°N,Before,73,Deep,3,Cold Water Corals,1
2009,South,27°N,After,70,Deep,3,Cold Water Corals,2
2009,South,25°N,Before,40,Deep,3,Cold Water Corals,3
2009,North,29°N,After,25,Shallow,2,Cold Water Corals,1
2009,North,29°N,After,1,Deep,1,Cold Water Corals,1
2009,South,28°N,After,78,Deep,2,Cold Water Corals,3
2009,South,26°N,After,29,Shallow,4,Cold Water Corals,2
2023,South,26°N,Before,51,Shallow,4,Cold Water Corals,2
2010,South,26°N,After,32,Deep,1,Cold Water Corals,1
2010,South,27°N,After,85,Shallow,4,Cold Water Corals,1
2023,South,26°N,Before,29,Deep,3,Cold Water Corals,2
2009,South,25°N,Before,52,Deep,7,Cold Water Corals,2
2023,North,29°N,Before,11,Shallow,4,Cold Water Corals,1
2009,South,25°N,Before,72,Deep,5,Cold Water Corals,1
2023,North,30°N,After,7,Deep,1,Cold Water Corals,1
2009,South,27°N,After,57,Shallow,4,Cold Water Corals,1
2023,South,25°N,After,68,Deep,4,Cold Water Corals,1
2010,South,25°N,Before,54,Deep,1,Cold Water Corals,1
2010,South,28°N,After,79,Deep,2,Cold Water Corals,1
2009,North,29°N,After,30,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,27,Deep,3,Cold Water Corals,2
2010,North,29°N,After,56,Deep,4,Cold Water Corals,1
2009,South,25°N,Before,40,Deep,5,Cold Water Corals,1
2009,South,25°N,Before,81,Deep,8,Cold Water Corals,1
2009,South,28°N,After,77,Shallow,3,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,2
2010,North,29°N,After,11,Deep,3,Cold Water Corals,6
2010,North,29°N,After,56,Deep,1,Cold Water Corals,4
2010,North,29°N,After,11,Deep,3,Cold Water Corals,2
2023,South,26°N,Before,51,Shallow,1,Cold Water Corals,1
2009,South,26°N,After,51,Shallow,4,Cold Water Corals,1
2009,South,25°N,Before,52,Deep,3,Cold Water Corals,1
2010,North,29°N,After,89,Shallow,4,Cold Water Corals,1
2023,South,25°N,Before,45,Shallow,1,Cold Water Corals,1
2009,South,27°N,After,57,Deep,2,Cold Water Corals,5
2010,North,29°N,After,13,Deep,3,Cold Water Corals,1
2009,South,28°N,After,78,Deep,1,Cold Water Corals,1
2023,North,29°N,Before,59,Deep,1,Cold Water Corals,1
